open,label
-40122,1
-15793,1
8959,1
31967,1
51288,1
65322,1
72871,1
73220,1
66266,1
52530,1
33066,1
9441,1
-16128,1
-40759,1
-61276,1
-74989,1
-80775,1
-79688,1
-74524,1
-68585,1
-64030,1
-60798,1
-56812,1
-49183,1
-35729,1
-16029,1
8191,1
33475,1
55690,1
71075,1
77202,1
73529,1
61181,1
42074,1
18004,1
-9655,1
-39753,1
-70882,1
-101098,1
-128393,1
-151293,1
-169086,1
-181539,1
-188272,1
-188551,1
-181573,1
-167050,1
-145715,1
-119269,1
-89970,1
-60163,1
-32110,1
-8051,1
9987,1
20643,1
23807,1
20957,1
14817,1
8364,1
3678,1
1224,1
-148,1
-2447,1
-7542,1
-16451,1
-29118,1
-44577,1
-61247,1
-77391,1
-91588,1
-102966,1
-111166,1
-116067,1
-117453,1
-114884,1
-107948,1
-96544,1
-81121,1
-62798,1
-43060,1
-23526,1
-5926,1
8057,1
17060,1
20580,1
19428,1
15624,1
11697,1
9509,1
9445,1
10361,1
10186,1
7071,1
341,1
-9250,1
-19830,1
-29179,1
-35495,1
-37925,1
-36859,1
-33844,1
-31209,1
-31416,1
-36418,1
-47325,1
-64153,1
-85849,1
-110320,1
-134412,1
-154269,1
-165960,1
-166481,1
-154653,1
-131372,1
-99401,1
-62542,1
-24815,1
10070,1
39177,1
60448,1
72838,1
76482,1
72487,1
62477,1
47983,1
30096,1
9536,1
-13000,1
-36287,1
-58399,1
-77028,1
-90016,1
-96001,1
-94744,1
-87000,1
-74255,1
-58295,1
-40699,1
-22792,1
-5796,1
9158,1
20942,1
28434,1
30678,1
27081,1
17784,1
4060,1
-11682,1
-26594,1
-38466,1
-46571,1
-51897,1
-56540,1
-62416,1
-70187,1
-79022,1
-87108,1
-92620,1
-94640,1
-93524,1
-90627,1
-87540,1
-85352,1
-84217,1
-83334,1
-81493,1
-77728,1
-71791,1
-64399,1
-56830,1
-50174,1
-44844,1
-40497,1
-36400,1
-32003,1
-27297,1
-22768,1
-19051,1
-16694,1
-16119,1
-17591,1
-21204,1
-26738,1
-33494,1
-40437,1
-46499,1
-50844,1
-53135,1
-53537,1
-52410,1
-50149,1
-47129,1
-43633,1
-39943,1
-36412,1
-33349,1
-30894,1
-28918,1
-26984,1
-24480,1
-20902,1
-16088,1
-10398,1
-4808,1
-821,1
-205,1
-4465,1
-14175,1
-28515,1
-45175,1
-60798,1
-71846,1
-75653,1
-71258,1
-59589,1
-43001,1
-24443,1
-6643,1
8516,1
20165,1
28162,1
32691,1
33767,1
31031,1
23886,1
11799,1
-5210,1
-26311,1
-49749,1
-73133,1
-94074,1
-110698,1
-122005,1
-127739,1
-128068,1
-123379,1
-114066,1
-100630,1
-83941,1
-65484,1
-47378,1
-31989,1
-21537,1
-17644,1
-20937,1
-30948,1
-46091,1
-63890,1
-81520,1
-96395,1
-106554,1
-110866,1
-108937,1
-100841,1
-87139,1
-68982,1
-48120,1
-26779,1
-7303,1
8427,1
19406,1
25606,1
27818,1
27219,1
24916,1
21741,1
18169,1
14412,1
10548,1
6530,1
2192,1
-2648,1
-8167,1
-14492,1
-21525,1
-29087,1
-37099,1
-45578,1
-54590,1
-64032,1
-73477,1
-82067,1
-88646,1
-92264,1
-92512,1
-89593,1
-84218,1
-77309,1
-69713,1
-62108,1
-55064,1
-49147,1
-45022,1
-43329,1
-44484,1
-48500,1
-54815,1
-62278,1
-69231,1
-73878,1
-74822,1
-71406,1
-63923,1
-53434,1
-41305,1
-28801,1
-16767,1
-5721,1
3914,1
11787,1
17562,1
20929,1
21606,1
19205,1
13284,1
3680,1
-9202,1
-24208,1
-39559,1
-53352,1
-64047,1
-70831,1
-73684,1
-73066,1
-69583,1
-63728,1
-55869,1
-46397,1
-35813,1
-24926,1
-14994,1
-7620,1
-4358,1
-6169,1
-13064,1
-24024,1
-37249,1
-50789,1
-63174,1
-73551,1
-81528,1
-86962,1
-89612,1
-89024,1
-84751,1
-76529,1
-64417,1
-48986,1
-31450,1
-13483,1
3119,1
16769,1
26365,1
31396,1
31841,1
27946,1
20016,1
8372,1
-6511,1
-23847,1
-42490,1
-60962,1
-77606,1
-90837,1
-99462,1
-102995,1
-101728,1
-96647,1
-89148,1
-80605,1
-72089,1
-64385,1
-58176,1
-54189,1
-53165,1
-55442,1
-60551,1
-67142,1
-73205,1
-76639,1
-75806,1
-69962,1
-59357,1
-44959,1
-28235,1
-10842,1
5752,1
20338,1
31909,1
39616,1
42740,1
40720,1
33249,1
20491,1
3293,1
-16804,1
-37776,1
-57428,1
-73741,1
-85218,1
-90984,1
-90742,1
-84692,1
-73496,1
-58375,1
-41140,1
-23996,1
-9112,1
1754,1
7500,1
7865,1
3336,1
-5148,1
-16369,1
-28997,1
-41851,1
-54066,1
-65213,1
-75350,1
-84746,1
-93484,1
-101229,1
-107212,1
-110515,1
-110462,1
-106795,1
-99705,1
-89608,1
-76904,1
-61961,1
-45132,1
-26939,1
-8319,1
9291,1
23985,1
33791,1
37350,1
34370,1
25771,1
13460,1
-340,1
-13715,1
-25417,1
-34998,1
-42609,1
-48580,1
-53111,1
-56226,1
-57824,1
-57724,1
-55887,1
-52567,1
-48323,1
-44011,1
-40509,1
-38340,1
-37530,1
-37718,1
-38522,1
-39838,1
-41844,1
-44807,1
-48657,1
-52785,1
-56205,1
-57778,1
-56691,1
-52880,1
-47014,1
-40337,1
-34260,1
-29912,1
-27962,1
-28687,1
-32178,1
-38376,1
-46896,1
-56802,1
-66479,1
-73919,1
-77343,1
-75848,1
-69812,1
-60715,1
-50498,1
-40880,1
-32880,1
-26859,1
-22878,1
-20880,1
-20766,1
-22332,1
-25232,1
-29063,1
-33434,1
-38048,1
-42651,1
-46955,1
-50715,1
-53719,1
-55799,1
-56924,1
-57091,1
-56233,1
-54285,1
-51257,1
-47288,1
-42702,1
-38032,1
-33984,1
-31188,1
-29982,1
-30239,1
-31327,1
-32401,1
-32622,1
-31463,1
-28932,1
-25372,1
-21299,1
-17204,1
-13461,1
-10429,1
-8364,1
-7403,1
-7504,1
-8334,1
-9442,1
-10579,1
-11834,1
-13616,1
-16480,1
-20817,1
-26724,1
-33976,1
-42089,1
-50489,1
-58465,1
-65250,1
-70236,1
-73058,1
-73727,1
-72638,1
-70449,1
-67860,1
-65389,1
-63328,1
-61690,1
-60295,1
-58799,1
-56727,1
-53692,1
-49476,1
-44107,1
-37932,1
-31474,1
-25305,1
-20068,1
-16389,1
-14752,1
-15376,1
-17984,1
-21911,1
-26411,1
-30833,1
-34824,1
-38318,1
-41336,1
-43929,1
-46182,1
-48221,1
-50158,1
-52016,1
-53714,1
-55043,1
-55672,1
-55324,1
-54002,1
-51971,1
-49680,1
-47688,1
-46427,1
-46108,1
-46812,1
-48524,1
-51164,1
-54650,1
-58788,1
-63058,1
-66554,1
-68132,1
-66760,1
-61969,1
-54115,1
-44218,1
-33545,1
-23186,1
-13764,1
-5481,1
1605,1
7340,1
11347,1
13062,1
11908,1
7482,1
-273,1
-10927,1
-23519,1
-36754,1
-49336,1
-60232,1
-68851,1
-75063,1
-79019,1
-80895,1
-80694,1
-78283,1
-73631,1
-67103,1
-59600,1
-52339,1
-46446,1
-42497,1
-40213,1
-38753,1
-37233,1
-35164,1
-32811,1
-31001,1
-30597,1
-32140,1
-35539,1
-40132,1
-44981,1
-49152,1
-51990,1
-53115,1
-52436,1
-50146,1
-46496,1
-41701,1
-35975,1
-29482,1
-22363,1
-14887,1
-7537,1
-956,1
4117,1
6930,1
7000,1
4295,1
-769,1
-7384,1
-14693,1
-22097,1
-29203,1
-35781,1
-41538,1
-45847,1
-47838,1
-46766,1
-42428,1
-35466,1
-27312,1
-19730,1
-14236,1
-11730,1
-12479,1
-16396,1
-23328,1
-33122,1
-45497,1
-59888,1
-75341,1
-90555,1
-104099,0
-114658,0
-121302,0
-123600,0
-121587,0
-115786,0
-107042,0
-96344,0
-84707,0
-73034,0
-62147,0
-52666,0
-44782,0
-38376,0
-33155,0
-28754,0
-24900,0
-21468,0
-18351,0
-15368,0
-12424,0
-9617,0
-7240,0
-5755,0
-5590,0
-6936,0
-9644,0
-13290,0
-17317,0
-21201,0
-24620,0
-27512,0
-30104,0
-32881,0
-36421,0
-41075,0
-46682,0
-52654,0
-58225,0
-62639,0
-65336,0
-66046,0
-64693,0
-61251,0
-55725,0
-48211,0
-38984,0
-28488,0
-17297,0
-6205,0
3819,0
11750,0
16602,0
17717,0
15009,0
8931,0
335,0
